//t, Inflow, WAS_Flow, RAS_Flow, Temp, R1_VSS_Inflow_Concentration, R1_sCOD_Inflow_Concentration, R1_NH3_Inflow_Concentration, R1_NO3_Inflow_Concentration, R5_MeOH_Inflow, Stl_t_TKN_Concentration
1453.3,90958.91,73.6013,104340.3,-0.1583916,17.35982,33.00881,15.09314,1.4,6098141,0.5055174
1453.4,91648.9,260.661,105895.1,-0.2520034,15.9131,30.95059,14.96967,1.375843,6003862,0.5044444
1453.5,91751.44,265.437,106028.1,-0.7633133,14.20424,28.4372,14.82919,1.348313,5918124,0.5037917
1453.6,91993.17,265.755,106391.7,-1,13.04987,26.77689,14.77922,1.351687,5890862,0.503642
1453.7,92209.09,290.685,106621.3,-0.7584349,13.15234,26.56144,14.55169,1.3,5714265,0.5038789
1453.8,91612.92,342.641,105396.9,-0.2415651,13.7237,26.97967,13.88001,1.175843,5399699,0.5057968
1453.9,90420.96,267.301,102746.7,0,13.93531,27.30524,12.93603,1.024157,5156096,0.5098902
1454,89802.78,144.884,101263.5,0,13.90387,27.30139,12.43298,0.9372071,5072654,0.5127492
1454.1,90241.15,75.1438,102562,0.2415651,13.42394,26.77503,12.55713,0.9520804,5081387,0.5127645
1454.2,90629.9,148.955,103776.6,0.7584349,12.38487,26.30775,12.83908,0.988894,5097761,0.51018
1454.3,90680.6,224.502,103915.7,1.241565,11.46086,26.2,12.74821,0.9758435,5086953,0.5067632
1454.4,90831.81,148.904,104401.1,1.77403,11.37289,26.2,12.68757,0.9724695,5085991,0.502772
1454.5,90761.07,251.689,104148.6,2.033369,11.92874,26.2,12.9361,1.021162,5112376,0.4984614
1454.6,90302.26,201.776,102858.8,2.015595,12.12903,26.2,12.69396,0.9863743,5086185,0.4956086
1454.7,89520.76,212.897,100784,2,11.4372,25.87636,12.14082,0.8781277,5026114,0.4947077
1454.8,88752.31,73.9503,99191.4,2,10.19858,24.71804,11.70226,0.7562034,4982747,0.4951747
1454.9,88120.59,63.925,98401.83,2,9.70332,24.18714,11.65175,0.7342361,4977548,0.4955524
1455,88309.51,0,98850.72,2,10.12673,25.04801,12.14954,0.8410641,5020766,0.4940225
1455.1,89099.88,1.53209,100476.7,2,9.717091,24.55291,12.5043,0.9,5053552,0.491603
1455.2,89174.98,72.3526,101153.3,2.241565,9.224372,23.95422,12.43636,0.9,5045330,0.4897351
1455.3,88068.87,138.727,99274.27,2.592067,10.39906,25.32524,12.58983,0.9241565,5054974,0.4877612
1455.4,87104.01,0,97541.76,2.402462,11.63565,26.25978,12.79628,0.951687,5067618,0.4865941
1455.5,86759.39,0,96393.55,2.316762,11.14089,26.17714,12.57804,0.9241565,5045382,0.4864574
1455.6,86566.96,0,94949.59,2.730855,9.68994,24.96734,12.37218,0.8690289,5025223,0.4854316
1455.7,86437.91,0,94375.14,2.734226,8.505239,23.20286,12.23161,0.8337321,5012195,0.4848634
1455.8,86320.03,0,94087.03,2.288451,8.508648,23.02805,12.23893,0.8547213,5016467,0.4857785
1455.9,86431.68,0,95076.3,2.034802,8.575391,23.09878,12.32848,0.8693863,5022883,0.4869526
1456,86526.72,0,95946.34,2,8.003511,22.27415,12.36094,0.8615358,5022259,0.4877776
1456.1,86283.81,0,94294.33,2,7.005917,20.92235,12.32848,0.8359531,5014233,0.48818
1456.2,86034.92,0,92720.96,2,6.531914,20.47305,12.58988,0.8735538,5039512,0.4876836
1456.3,86022.55,0,93231.16,1.758435,6.487699,20.46094,13.3309,0.9876401,5117338,0.4860853
1456.4,86412.11,0,96829.45,1.420048,6.608376,20.78215,13.87922,1.075843,5181303,0.4853079
1456.5,86558.15,0,97876.16,1.381894,6.814195,21.36096,14.02205,1.103341,5203095,0.4855992
1456.6,86223.49,0,95019.44,1.178483,6.518991,21.08512,14.04719,1.107148,5208780,0.4865711
1456.7,86034.95,0,94199.14,0.9117031,6.179903,20.59787,14.14472,1.127497,5232469,0.4878877
1456.8,86274.17,0,96688.44,0.8110738,6.403663,21.04439,14.42477,1.175843,5319239,0.4891004
1456.9,86521.74,0,98749.72,0.9117031,6.6,21.48238,14.60158,1.2,5386881,0.4898108
1457,86342.59,0,98288.5,0.9349033,6.659512,21.61334,14.69163,1.224157,5445084,0.4901834
1457.1,86292.11,0,98252.07,0.6762664,6.945544,22.0624,14.87258,1.251687,5550615,0.4906139
1457.2,86950.39,0,100340.2,0.5402453,7.126405,22.35646,15.01788,1.250098,5659948,0.4903948
1457.3,88150.81,0,103214.9,0.815552,6.866521,22.0033,15.11037,1.260437,5760245,0.4888809
1457.4,88974.44,80.0988,104954.9,0.9262289,6.850877,21.96957,14.9974,1.236491,5653716,0.4879229
1457.5,88687.06,133.133,104574.9,0.6005891,7.528304,23.0908,14.69837,1.191147,5471246,0.4895631
1457.6,87547.51,136.422,102467.6,0.167794,8.281639,24.54239,14.39002,1.170507,5339597,0.4936263
1457.7,86857.82,56.2653,100903.5,0,8.585957,25.01433,14.43621,1.186216,5330987,0.4969213
1457.8,87271.29,0,101722.5,0,8.807175,25.1984,14.7311,1.224157,5510811,0.4975885
1457.9,88464.24,0,104234.1,0,8.276007,24.44334,15.17524,1.3,5845061,0.4954868
1458,89519.29,106.84,106147.9,0,7.540534,23.26331,15.55555,1.375843,6073899,0.4927323
1458.1,89831.47,211.566,106445.6,0.01091341,7.153286,22.52457,15.62009,1.389647,6107815,0.4909601
1458.2,88891.52,250.247,104701.5,0.2649162,7.005422,22.28424,15.52887,1.377847,6059521,0.4900611
1458.3,87958.76,133.863,103107.7,0.5277832,7.461565,23.16631,15.48276,1.376771,6038652,0.4899668
1458.4,87949.67,35.4004,103014.9,0.430857,8.120869,24.33185,15.43006,1.367508,6018313,0.4906373
1458.5,87707.6,128.535,102483,0.6465874,8.196961,24.39971,15.49793,1.376549,6046705,0.4903922
1458.6,87463.95,11.7638,101842.6,1.189292,8.46093,24.93844,15.70309,1.416066,6156213,0.4886893
1458.7,87187.55,92.5579,101122.7,1.758435,8.342762,24.83334,15.84194,1.444952,6240225,0.4857556
1458.8,87312.52,0,101709.4,2,8.043684,24.36386,15.81143,1.421009,6236218,0.4827835
1458.9,86957.96,84.4518,100958.6,2,8.065482,24.45359,15.71873,1.4,6192551,0.480997
1459,86169.69,7.18146,98035,2,8.258377,24.76547,15.53634,1.384934,6105514,0.4806836
